cik_str,sic,sicDescription
4926,,
5270,,
3,0000,
5405,2040,Grain Mill Products
6383,4841,Cable & Other Pay Television Services
17,0000,
49,0000,
13,,
6814,7363,Services-Help Supply Services
14,0000,
18,,
4405,,
8734,5812,Retail-Eating  Places
4458,7500,"Services-Automotive Repair, Services & Parking"
4421,3241,"Cement, Hydraulic"
4570,6022,State Commercial Banks
5216,,
8725,,
1761,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes)
63,6021,National Commercial Banks
20,3823,"Industrial Instruments For Measurement, Display, and Control"
5076,,
5368,6311,Life Insurance
6627,2082,Malt Beverages
1848,5600,Retail-Apparel & Accessory Stores
1830,9995,Non-Operating Establishments
4611,3089,"Plastics Products, NEC"
6182,3663,Radio & Tv Broadcasting & Communications Equipment
1750,3720,Aircraft & Parts
51,7385,Services-Telephone Interconnect Systems
8762,,
1841,,
1904,,
5550,9995,Non-Operating Establishments
6527,,
1800,2834,Pharmaceutical Preparations
6955,3590,Misc Industrial & Commercial Machinery & Equipment
1860,,
7032,5812,Retail-Eating  Places
1853,3711,Motor Vehicles & Passenger Car Bodies
1947,,
1918,,
5971,,
6992,3443,Fabricated Plate Work (Boiler Shops)
1958,,
1952,1700,Construction - Special Trade Contractors
1923,1540,General Bldg Contractors - Nonresidential Bldgs
7084,2070,Fats & Oils
2024,5070,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies
4811,5411,Retail-Grocery Stores
5172,6311,Life Insurance
1985,6331,"Fire, Marine & Casualty Insurance"
6176,3561,Pumps & Pumping Equipment
1969,4955,Hazardous Waste Management
1961,7372,Services-Prepackaged Software
5272,6331,"Fire, Marine & Casualty Insurance"
6501,,
2036,3743,Railroad Equipment
1988,3577,"Computer Peripheral Equipment, NEC"
7105,2834,Pharmaceutical Preparations
4560,,
4727,,
5007,,
5441,,
6694,4941,Water Supply
2066,3829,"Measuring & Controlling Devices, NEC"
6885,5651,Retail-Family Clothing Stores
2062,6351,Surety Insurance
2093,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)"
6216,3320,Iron & Steel Foundries
2071,,
6281,3674,Semiconductors & Related Devices
2070,3620,Electrical Industrial Apparatus
5177,5072,Wholesale-Hardware
5907,4813,Telephone Communications (No Radiotelephone)
8776,,
2145,5190,Wholesale-Miscellaneous Nondurable Goods
5768,3844,X-Ray Apparatus & Tubes & Related Irradiation Apparatus
7059,6770,Blank Checks
2178,5172,Wholesale-Petroleum & Petroleum Products (No Bulk Stations)
5197,8062,"Services-General Medical & Surgical Hospitals, NEC"
6064,3270,"Concrete, Gypsum & Plaster Products"
8775,,
2034,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries"
2303,,
7184,1311,Crude Petroleum & Natural Gas
7255,,
2110,,
2098,3420,"Cutlery, Handtools & General Hardware"
2135,7374,Services-Computer Processing & Data Preparation
4879,,
7195,,
2186,3663,Radio & Tv Broadcasting & Communications Equipment
2230,,
2310,3555,Printing Trades Machinery & Equipment
7214,6141,Personal Credit Institutions
2380,,
7302,4213,Trucking (No Local)
2381,,
5138,,
6161,2211,"Broadwoven Fabric Mills, Cotton"
8818,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes)
2467,7373,Services-Computer Integrated Systems Design
7039,2911,Petroleum Refining
2488,3674,Semiconductors & Related Devices
7119,3730,Ship & Boat Building & Repairing
2435,3672,Printed Circuit Boards
7297,,
2473,,
6247,,
7169,,
2636,,
7314,4923,Natural Gas Transmisison & Distribution
2308,3578,Calculating & Accounting Machines (No Electronic Computers)
7286,4931,Electric & Other Services Combined
2589,8711,Services-Engineering Services
7426,,
2457,3564,Industrial & Commercial Fans & Blowers & Air Purifing Equip
7383,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)"
2648,6321,Accident & Health Insurance
7332,1311,Crude Petroleum & Natural Gas
2491,7372,Services-Prepackaged Software
4572,7374,Services-Computer Processing & Data Preparation
4515,4512,"Air Transportation, Scheduled"
5227,6311,Life Insurance
6071,5331,Retail-Variety Stores
8802,6331,"Fire, Marine & Casualty Insurance"
2554,,
7373,,
2668,7380,Services-Miscellaneous Business Services
2619,,
2732,8880,American Depositary Receipts
7323,4911,Electric Services
2741,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl
2601,3674,Semiconductors & Related Devices
4828,2060,Sugar & Confectionery Products
5320,6311,Life Insurance
6019,1311,Crude Petroleum & Natural Gas
2664,,
2691,,
2646,,
2663,,
2784,,
4527,,
4659,,
4829,2800,Chemicals & Allied Products
5115,,
5966,,
7340,3490,Miscellaneous Fabricated Metal Products
2781,,
2702,,
2745,0000,
2817,3713,Truck & Bus Bodies
2834,,
2825,1311,Crude Petroleum & Natural Gas
5385,7331,Services-Direct Mail Advertising Services
6664,,
2768,,
4457,7510,Services-Auto Rental & Leasing (No Drivers)
4672,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes)
5133,2771,Greeting Cards
6113,,
8504,3721,Aircraft
2880,5040,Wholesale-Professional & Commercial Equipment & Supplies
7470,,
2869,,
3000,4513,Air Courier Services
7623,3523,Farm Machinery & Equipment
2915,,
2903,,
2809,1040,Gold and Silver Ores
2852,2040,Grain Mill Products
4588,,
5139,,
5850,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip
7610,2771,Greeting Cards
3124,2800,Chemicals & Allied Products
5588,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes)
6684,,
3070,,
7533,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies"
3158,,
2969,2810,Industrial Inorganic Chemicals
3146,4924,Natural Gas Distribution
5513,6321,Accident & Health Insurance
6732,3560,General Industrial Machinery & Equipment
3133,6022,State Commercial Banks
3155,,
5486,6552,Land Subdividers & Developers (No Cemeteries)
6713,,
3116,2834,Pharmaceutical Preparations
6201,4512,"Air Transportation, Scheduled"
3153,4911,Electric Services
7443,,
3202,4512,"Air Transportation, Scheduled"
6207,6552,Land Subdividers & Developers (No Cemeteries)
7645,,
3228,1040,Gold and Silver Ores
7646,8880,American Depositary Receipts
3292,2250,Knitting Mills
5506,,
6571,7200,Services-Personal Services
3270,,
3398,3661,Telephone & Telegraph Apparatus
5508,,
6578,,
3433,,
3303,2221,"Broadwoven Fabric Mills, Man Made Fiber & Silk"
6389,,
7636,3714,Motor Vehicle Parts & Accessories
3327,5990,"Retail-Retail Stores, NEC"
5611,2911,Petroleum Refining
6342,,
3449,6411,"Insurance Agents, Brokers & Service"
7431,3089,"Plastics Products, NEC"
3197,3564,Industrial & Commercial Fans & Blowers & Air Purifing Equip
3333,5411,Retail-Grocery Stores
5533,0000,
6715,5311,Retail-Department Stores
3370,5045,Wholesale-Computers & Peripheral Equipment & Software
3499,6798,Real Estate Investment Trusts
7536,5065,"Wholesale-Electronic Parts & Equipment, NEC"
3520,,
5732,,
6769,1311,Crude Petroleum & Natural Gas
3559,,
3475,,
5529,0000,
6494,3663,Radio & Tv Broadcasting & Communications Equipment
3530,,
3453,4400,Water Transportation
7948,,
3535,3672,Printed Circuit Boards
5187,2834,Pharmaceutical Preparations
6164,3678,Electronic Connectors
8411,1381,Drilling Oil & Gas Wells
3565,6311,Life Insurance
7711,,
3545,0100,Agricultural Production-Crops
7649,3330,Primary Smelting & Refining of  Nonferrous Metals
3588,,
6331,,
6474,5150,Wholesale-Farm Product Raw Materials
5656,1040,Gold and Silver Ores
3662,2390,Miscellaneous Fabricated Textile Products
3642,6331,"Fire, Marine & Casualty Insurance"
6314,3663,Radio & Tv Broadcasting & Communications Equipment
5103,6311,Life Insurance
5352,,
3521,,
3656,3452,"Bolts, Nuts, Screws, Rivets & Washers"
3683,,
7694,5160,Wholesale-Chemicals & Allied Products
3650,6519,"Lessors of  Real Property, NEC"
8868,2844,"Perfumes, Cosmetics & Other Toilet Preparations"
3721,3663,Radio & Tv Broadcasting & Communications Equipment
7823,,
3711,2511,"Wood Household Furniture, (No Upholstered)"
8038,5065,"Wholesale-Electronic Parts & Equipment, NEC"
3753,3931,Musical Instruments
3845,,
5784,,
6845,3231,"Glass Products, Made of  Purchased Glass"
3570,4924,Natural Gas Distribution
8063,3728,"Aircraft Parts & Auxiliary Equipment, NEC"
3798,,
6435,3714,Motor Vehicle Parts & Accessories
3673,4911,Electric Services
7773,,
3898,,
7951,6799,"Investors, NEC"
3878,,
5861,,
3794,,
3975,4213,Trucking (No Local)
4471,,
4833,8071,Services-Medical Laboratories
5181,,
5696,1311,Crude Petroleum & Natural Gas
7973,6141,Personal Credit Institutions
3972,,
3941,3523,Farm Machinery & Equipment
3933,1311,Crude Petroleum & Natural Gas
3959,2731,Books: Publishing or  Publishing & Printing
5261,,
6082,3621,Motors & Generators
8867,6792,Oil Royalty Traders
3995,,
5818,3730,Ship & Boat Building & Repairing
6948,3679,"Electronic Components, NEC"
3999,,
4141,,
7789,6022,State Commercial Banks
3952,3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)"
5719,7900,Services-Amusement & Recreation Services
6720,3949,"Sporting & Athletic Goods, NEC"
4261,,
3906,,
5100,,
5384,,
6284,3825,Instruments For Meas & Testing of  Electricity & Elec Signals
4280,,
8069,,
4164,3357,Drawing & Insulating of  Nonferrous Wire
8088,4011,"Railroads, Line-Haul Operating"
4165,9995,Non-Operating Establishments
8109,3711,Motor Vehicles & Passenger Car Bodies
3982,1389,"Oil & Gas Field Services, NEC"
4123,,
4187,5090,Wholesale-Misc Durable Goods
4707,6036,"Savings Institutions, Not Federally Chartered"
5108,,
6075,,
8137,1600,Heavy Construction Other Than Bldg Const - Contractors
4127,3674,Semiconductors & Related Devices
4250,,
8192,4911,Electric Services
4568,,
5207,6512,Opeators of  Nonresidential Buildings
5981,2870,Agricultural Chemicals
8117,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)"
4285,3330,Primary Smelting & Refining of  Nonferrous Metals
4319,2330,"Women's, Misses':  and Juniors Outerwear"
4310,2834,Pharmaceutical Preparations
5786,,
4317,7373,Services-Computer Integrated Systems Design
4281,3350,Rolling Drawing & Extruding of  Nonferrous Metals
7974,6141,Personal Credit Institutions
4363,3334,Primary Production of  Aluminum
5657,3443,Fabricated Plate Work (Boiler Shops)
6951,3674,Semiconductors & Related Devices
4342,,
6292,7371,Services-Computer Programming Services
4417,,
8154,4924,Natural Gas Distribution
4438,1731,Electrical Work
8065,3823,"Industrial Instruments For Measurement, Display, and Control"
4325,5013,Wholesale-Motor Vehicle Supplies & New Parts
8286,6199,Finance Services
4427,3571,Electronic Computers
8345,,
4344,7359,"Services-Equipment Rental & Leasing, NEC"
8302,1040,Gold and Silver Ores
4444,,
8299,1000,Metal Mining
4447,2911,Petroleum Refining
6260,3861,Photographic Equipment & Supplies
4507,2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties"
4904,4911,Electric Services
6413,,
8155,7948,"Services-Racing, Including Track Operation"
4911,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
8177,6311,Life Insurance
4960,2013,Sausages & Other Prepared Meat Products
8146,3577,"Computer Peripheral Equipment, NEC"
4975,,
8328,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
4999,,
5910,4841,Cable & Other Pay Television Services
4995,,
5006,,
8412,,
4962,6199,Finance Services
8565,6029,"Commercial Banks, NEC"
5016,6331,"Fire, Marine & Casualty Insurance"
7346,3714,Motor Vehicle Parts & Accessories
5876,,
6879,4911,Electric Services
5009,3080,Miscellaneous Plastics Products
4977,6321,Accident & Health Insurance
8462,3714,Motor Vehicle Parts & Accessories
4969,6153,Short-Term Business Credit Institutions
8497,6331,"Fire, Marine & Casualty Insurance"
4980,,
8486,,
5099,0000,
8598,7374,Services-Computer Processing & Data Preparation
5096,,
8643,8090,"Services-Misc Health & Allied Services, NEC"
5075,,
8670,7374,Services-Computer Processing & Data Preparation
5094,,
8699,3524,Lawn & Garden Tractors & Home Lawn & Gardens Equip
5114,,
8800,,
5117,7389,"Services-Business Services, NEC"
5337,2621,Paper Mills
6035,,
8588,7384,Services-Photofinishing Laboratories
12793,0000,
13006,2834,Pharmaceutical Preparations
14195,3510,Engines & Turbines
13351,0000,
13372,4911,Electric Services
13361,0000,
13390,4922,Natural Gas Transmission
13463,,
13606,3674,Semiconductors & Related Devices
13353,,
13393,,
13824,6799,"Investors, NEC"
13547,1700,Construction - Special Trade Contractors
13839,6022,State Commercial Banks
14661,,
8858,5065,"Wholesale-Electronic Parts & Equipment, NEC"
14651,,
8795,6141,Personal Credit Institutions
14827,4953,Refuse Systems
8855,2540,"Partitions, Shelvg, Lockers, & of fice & Store Fixtures"
14745,,
8943,,
12733,2060,Sugar & Confectionery Products
12779,6500,Real Estate
12953,3620,Electrical Industrial Apparatus
13522,2650,Paperboard Containers & Boxes
8919,3663,Radio & Tv Broadcasting & Communications Equipment
13878,,
14525,4924,Natural Gas Distribution
9014,,
14707,3140,"Footwear, (No Rubber)"
8947,3470,"Coating, Engraving & Allied Services"
14280,3670,Electronic Components & Accessories
9108,0000,
14632,,
9096,2621,Paper Mills
14846,6798,Real Estate Investment Trusts
8960,6141,Personal Credit Institutions
14358,,
9092,3824,Totalizing Fluid Meters & Counting Devices
14957,3330,Primary Smelting & Refining of  Nonferrous Metals
9017,,
14847,,
9128,1000,Metal Mining
14767,,
9015,,
14899,,
9120,,
13777,6798,Real Estate Investment Trusts
14333,,
9189,,
14864,,
9157,,
15266,,
9209,,
14920,5411,Retail-Grocery Stores
9217,6199,Finance Services
13033,7200,Services-Personal Services
14537,5331,Retail-Variety Stores
9268,,
9145,7389,"Services-Business Services, NEC"
14995,3950,"Pens, Pencils & Other Artists' Materials"
9318,,
15019,6798,Real Estate Investment Trusts
9211,,
15260,,
9220,,
13386,,
14611,3790,Miscellaneous Transportation Equipment
9326,2800,Chemicals & Allied Products
13585,3714,Motor Vehicle Parts & Accessories
12933,,
13075,,
17294,6512,Opeators of  Nonresidential Buildings
9319,,
15168,,
9235,6282,Investment Advice
15288,6795,Mineral Royalty Traders
9367,,
14930,3510,Engines & Turbines
9382,,
15310,5094,"Wholesale-Jewelry, Watches, Precious Stones & Metals"
9389,3411,Metal Cans
14971,3443,Fabricated Plate Work (Boiler Shops)
9263,8741,Services-Management Services
15354,3679,"Electronic Components, NEC"
9435,7990,Services-Miscellaneous Amusement & Recreation
13021,7373,Services-Computer Integrated Systems Design
14550,5621,Retail-Women's Clothing Stores
9442,2430,"Millwood, Veneer, Plywood, & Structural Wood Members"
9456,,
15590,,
9436,,
15470,,
9342,3621,Motors & Generators
14803,1311,Crude Petroleum & Natural Gas
9548,4911,Electric Services
14798,,
9346,6331,"Fire, Marine & Casualty Insurance"
15466,,
9521,,
13783,,
14049,,
15699,,
9568,7370,"Services-Computer Programming, Data Processing, Etc."
15357,2060,Sugar & Confectionery Products
9621,,
15393,2711,Newspapers: Publishing or  Publishing & Printing
9572,,
13083,0000,
14056,4210,Trucking & Courier Services (No Air)
9622,,
9528,,
15916,,
9534,3011,Tires & Inner Tubes
15511,4011,"Railroads, Line-Haul Operating"
9586,,
15486,2200,Textile Mill Products
9466,4931,Electric & Other Services Combined
14029,3562,Ball & Roller Bearings
15681,,
9634,,
15715,,
9626,6022,State Commercial Banks
14073,6513,Operators of  Apartment Buildings
15836,8711,Services-Engineering Services
9681,,
15939,,
9672,6021,National Commercial Banks
15847,7990,Services-Miscellaneous Amusement & Recreation
